"Time","alice outbound","bob outbound","charlie outbound","dave outbound","erin outbound","frank outbound","ian outbound","jade outbound","luke outbound","mike outbound"
1735203600000,undefined,7649.866666666666,8549.933333333332,8924.666666666666,undefined,3224.311111111111,14865.666666666664,8219.933333333332,undefined,602.5555555555554
1735210800000,undefined,28335.666666666664,8173.644444444445,34964.13333333333,undefined,4342.222222222223,28932.799999999996,31066.977777777774,undefined,817.9777777777778
1735218000000,undefined,13204.777777777777,8863.422222222222,19980.266666666666,undefined,3296.4,10159.755555555555,10379.6,undefined,538.0888888888888
1735225200000,undefined,48186.97777777778,75079.4,152635.28888888887,undefined,3071.8444444444444,43141.46666666666,36443.4,undefined,1505.8666666666663
1735232400000,undefined,8770.71111111111,12640.466666666667,30798.733333333334,undefined,2532.088888888889,13221.177777777777,8907.177777777777,undefined,736.0222222222221
1735239600000,undefined,16398.62222222222,15900.6,17979.844444444443,undefined,2241.1777777777775,18622.8,11049.666666666666,undefined,766.8444444444444
1735246800000,undefined,23840.755555555555,16876.533333333333,88710.04444444443,undefined,1338.0888888888887,12101.688888888888,17516.82222222222,undefined,750.4666666666667
1735254000000,undefined,205904.02222222224,22840.222222222223,180625.3111111111,undefined,35082.8,16997.755555555555,21659.48888888889,undefined,628.6444444444444
1735261200000,undefined,21463.088888888888,52160.24444444444,13429.2,undefined,2567.088888888889,6522.244444444444,17221,undefined,477.53333333333325
1735268400000,undefined,30611.066666666666,10442.044444444444,15848.933333333332,undefined,2197.6222222222223,10068.22222222222,12892.844444444443,undefined,481.51111111111106
1735275600000,undefined,56987.933333333334,11935.999999999998,111896.57777777777,undefined,27249.577777777777,83603.42222222222,27220.62222222222,undefined,625.3555555555556
1735282800000,undefined,35594.71111111111,20303.511111111107,22981.28888888889,undefined,2344.644444444444,30159.844444444443,17090.555555555555,undefined,760.9333333333332
1735290000000,undefined,157311.66666666666,48952.88888888888,83165.2,undefined,29036.222222222223,86122.77777777777,34683.75555555555,undefined,946.4222222222222
1735297200000,undefined,26756.266666666663,13667.133333333333,53326.37777777777,undefined,3119,61379.53333333333,67509.37777777777,undefined,1326.6666666666667
1735304400000,undefined,48206.93333333333,34915.46666666666,36546.533333333326,undefined,2835.8444444444444,31607.866666666665,24608.644444444442,undefined,1287.8444444444442
1735311600000,undefined,24143.711111111108,38243.82222222222,56828.688888888886,undefined,2681.355555555556,75400.08888888889,44246.48888888889,undefined,782.1333333333333
1735318800000,undefined,47758.044444444444,16167.733333333332,24056.155555555553,undefined,2700.3777777777777,52868.46666666666,13322.644444444444,undefined,942.2
1735326000000,undefined,97981.17777777779,71244.48888888888,14990.844444444443,undefined,1861.1197511664072,16401.48888888889,9914.177777777777,undefined,862.2888888888888
1735333200000,undefined,21906,86640.48888888888,18060.933333333334,undefined,2612.688888888889,13895.133333333333,31771.28888888889,undefined,704.911111111111
1735340400000,undefined,11619.866666666667,11011.733333333334,21575.155555555553,undefined,2750.133333333333,22258.511111111107,14938.777777777777,undefined,756.7555555555555
1735347600000,undefined,11972.777777777777,19511.733333333334,12140.288888888888,undefined,1889.1555555555556,10004.466666666667,12120.844444444443,undefined,556.2
1735354800000,undefined,41248.288888888885,79530.75555555554,73139.86666666667,undefined,2396.3777777777777,11000.488888888887,22561.24444444444,undefined,765.9333333333333
1735362000000,undefined,8463.377777777778,10293.888888888887,23367.644444444442,undefined,1316.4888888888888,13488.733333333334,11228.8,undefined,539.2888888888889
1735369200000,undefined,12774.644444444444,11100.177777777777,19836.11111111111,undefined,2694.9777777777776,16821.199999999997,16241.088888888888,undefined,703.1111111111111
1735376400000,undefined,23545.355555555554,14395.91111111111,23947.44444444444,undefined,2589.911111111111,17671.155555555553,26885.577777777777,undefined,591.0444444444444
1735383600000,undefined,22023.177777777775,18156.71111111111,22188.62222222222,undefined,3265.0666666666666,13672,11720.91111111111,undefined,679
1735390800000,undefined,12198.111111111111,15458.444444444443,26446.533333333333,undefined,2713.6222222222223,16512.022222222222,13714.955555555556,undefined,726.0666666666665
